scenario,mode,frame,device,cpu_ms,gpu_ms,readback_cpu_ms,gpu_main_cull_ms,gpu_main_raster_ms,gpu_hzb_ms,gpu_post_cull_ms,gpu_post_raster_ms,gpu_bytes,draw_calls,gpu_bins,gpu_visible,gpu_frustum_rejected,gpu_deferred,gpu_post_visible,lod0,lod1,lod2,lod3,hzb_valid,gpu_visibility_active,visibility_diagnostics,visibility_counters_valid,validation_errors
frustum,direct,0,"NVIDIA GeForce RTX 2080 Ti",66.7005,0.233312,0.041498,0,0.192384,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,1,"NVIDIA GeForce RTX 2080 Ti",63.7382,0.235936,0.062669,0,0.19328,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,2,"NVIDIA GeForce RTX 2080 Ti",75.2129,0.363328,0.054813,0,0.31968,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,3,"NVIDIA GeForce RTX 2080 Ti",67.7748,0.234976,0.060584,0,0.193856,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,4,"NVIDIA GeForce RTX 2080 Ti",60.4237,0.235072,0.045746,0,0.193248,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,5,"NVIDIA GeForce RTX 2080 Ti",75.672,0.235232,0.049183,0,0.192832,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,6,"NVIDIA GeForce RTX 2080 Ti",74.7586,0.23184,0.057027,0,0.190592,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,7,"NVIDIA GeForce RTX 2080 Ti",79.9626,0.23472,0.054243,0,0.192832,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,8,"NVIDIA GeForce RTX 2080 Ti",79.629,0.232128,0.044774,0,0.190464,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,9,"NVIDIA GeForce RTX 2080 Ti",71.7576,0.234368,0.038933,0,0.1936,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,10,"NVIDIA GeForce RTX 2080 Ti",70.1824,0.275456,0.067658,0,0.20128,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,11,"NVIDIA GeForce RTX 2080 Ti",91.5564,0.235616,0.094949,0,0.193344,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,12,"NVIDIA GeForce RTX 2080 Ti",70.5926,0.234912,0.056337,0,0.192544,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
