scenario,mode,frame,device,cpu_ms,gpu_ms,readback_cpu_ms,gpu_main_cull_ms,gpu_main_raster_ms,gpu_hzb_ms,gpu_post_cull_ms,gpu_post_raster_ms,gpu_bytes,draw_calls,gpu_bins,gpu_visible,gpu_frustum_rejected,gpu_deferred,gpu_post_visible,lod0,lod1,lod2,lod3,hzb_valid,gpu_visibility_active,visibility_diagnostics,visibility_counters_valid,validation_errors
frustum,direct,0,"NVIDIA GeForce RTX 2080 Ti",93.8725,0.23984,0.05314,0,0.195616,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,1,"NVIDIA GeForce RTX 2080 Ti",72.6142,0.239936,0.049743,0,0.19584,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,2,"NVIDIA GeForce RTX 2080 Ti",88.0211,0.239584,0.065223,0,0.192832,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,3,"NVIDIA GeForce RTX 2080 Ti",78.2073,0.276736,0.044924,0,0.198656,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,4,"NVIDIA GeForce RTX 2080 Ti",73.1667,0.239328,0.049514,0,0.193184,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,5,"NVIDIA GeForce RTX 2080 Ti",90.6366,0.240736,0.0374,0,0.196064,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,6,"NVIDIA GeForce RTX 2080 Ti",73.5559,0.240096,0.060124,0,0.19456,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,7,"NVIDIA GeForce RTX 2080 Ti",73.644,0.239296,0.057929,0,0.1944,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,8,"NVIDIA GeForce RTX 2080 Ti",74.2932,0.239008,0.041298,0,0.194208,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,9,"NVIDIA GeForce RTX 2080 Ti",87.3979,0.24064,0.070012,0,0.194752,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,10,"NVIDIA GeForce RTX 2080 Ti",84.099,0.240992,0.07401,0,0.195904,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,11,"NVIDIA GeForce RTX 2080 Ti",90.7987,0.240192,0.065093,0,0.19456,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,12,"NVIDIA GeForce RTX 2080 Ti",81.6204,0.240416,0.04769,0,0.196576,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,13,"NVIDIA GeForce RTX 2080 Ti",94.9211,0.241088,0.063129,0,0.196096,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,14,"NVIDIA GeForce RTX 2080 Ti",77.274,0.240672,0.044113,0,0.196192,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,15,"NVIDIA GeForce RTX 2080 Ti",94.9484,0.240928,0.08437,0,0.196416,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,16,"NVIDIA GeForce RTX 2080 Ti",72.684,0.239264,0.050044,0,0.194784,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,17,"NVIDIA GeForce RTX 2080 Ti",70.9211,0.241056,0.054253,0,0.196064,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,18,"NVIDIA GeForce RTX 2080 Ti",81.2235,0.238656,0.057729,0,0.19456,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,19,"NVIDIA GeForce RTX 2080 Ti",71.7002,0.23872,0.051828,0,0.19456,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,20,"NVIDIA GeForce RTX 2080 Ti",85.7993,0.275072,0.063861,0,0.198848,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,21,"NVIDIA GeForce RTX 2080 Ti",71.1468,0.239136,0.054613,0,0.194464,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,22,"NVIDIA GeForce RTX 2080 Ti",80.3144,0.24224,0.046518,0,0.196736,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,23,"NVIDIA GeForce RTX 2080 Ti",90.3626,0.23792,0.080562,0,0.192512,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,24,"NVIDIA GeForce RTX 2080 Ti",79.6581,0.23872,0.069952,0,0.194368,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,25,"NVIDIA GeForce RTX 2080 Ti",86.7153,0.237568,0.073338,0,0.192928,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,26,"NVIDIA GeForce RTX 2080 Ti",105.535,0.239808,0.048983,0,0.19488,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,27,"NVIDIA GeForce RTX 2080 Ti",90.4653,0.239424,0.067317,0,0.194656,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,28,"NVIDIA GeForce RTX 2080 Ti",82.4022,0.246176,0.057298,0,0.19712,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,direct,29,"NVIDIA GeForce RTX 2080 Ti",69.9484,0.24688,0.059452,0,0.19712,0,0,0,7811584,416,0,0,0,0,0,1024,0,0,0,0,0,1,0,0
frustum,gpu_frustum,0,"NVIDIA GeForce RTX 2080 Ti",19.3669,4.39968,0.072576,4.3257,0.030208,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,1,"NVIDIA GeForce RTX 2080 Ti",15.7535,3.9465,0.059572,3.87264,0.030752,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,2,"NVIDIA GeForce RTX 2080 Ti",15.2249,3.83805,0.055485,3.76752,0.027072,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,3,"NVIDIA GeForce RTX 2080 Ti",16.4207,4.83411,0.05318,4.76048,0.030432,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,4,"NVIDIA GeForce RTX 2080 Ti",18.089,4.42224,0.237638,4.3489,0.029568,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,5,"NVIDIA GeForce RTX 2080 Ti",16.4043,4.16947,0.059382,4.09533,0.031168,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,6,"NVIDIA GeForce RTX 2080 Ti",26.3979,4.01258,0.319733,3.93216,0.038304,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,7,"NVIDIA GeForce RTX 2080 Ti",20.4476,4.63619,0.059282,4.5624,0.031008,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,8,"NVIDIA GeForce RTX 2080 Ti",18.2016,3.86666,0.060254,3.77907,0.044544,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,9,"NVIDIA GeForce RTX 2080 Ti",14.964,4.21133,0.055304,4.13994,0.029152,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,10,"NVIDIA GeForce RTX 2080 Ti",13.6549,4.32074,0.046377,4.23382,0.044672,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,11,"NVIDIA GeForce RTX 2080 Ti",12.5237,3.74387,0.053551,3.65994,0.042848,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,12,"NVIDIA GeForce RTX 2080 Ti",31.3421,5.13533,0.080532,5.06534,0.028032,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,13,"NVIDIA GeForce RTX 2080 Ti",14.5948,3.78154,0.063369,3.71475,0.024896,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,14,"NVIDIA GeForce RTX 2080 Ti",15.2246,4.31379,0.091132,4.24256,0.027616,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,15,"NVIDIA GeForce RTX 2080 Ti",16.0754,5.05866,0.070483,4.988,0.029504,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,16,"NVIDIA GeForce RTX 2080 Ti",13.9159,3.64512,0.057568,3.57869,0.025792,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,17,"NVIDIA GeForce RTX 2080 Ti",15.1862,4.1081,0.066205,4.0215,0.043776,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,18,"NVIDIA GeForce RTX 2080 Ti",14.419,4.22557,0.052269,4.1551,0.02896,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,19,"NVIDIA GeForce RTX 2080 Ti",22.4779,4.31062,0.05836,4.23917,0.03008,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,20,"NVIDIA GeForce RTX 2080 Ti",16.1069,3.8457,0.06354,3.7599,0.043232,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,21,"NVIDIA GeForce RTX 2080 Ti",14.3488,3.93782,0.075252,3.86992,0.02608,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,22,"NVIDIA GeForce RTX 2080 Ti",12.9291,3.82083,0.05832,3.73139,0.049568,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,23,"NVIDIA GeForce RTX 2080 Ti",13.2736,3.90512,0.078608,3.82621,0.038368,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,24,"NVIDIA GeForce RTX 2080 Ti",12.6893,3.96976,0.051677,3.90218,0.027936,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,25,"NVIDIA GeForce RTX 2080 Ti",13.6491,3.53974,0.052059,3.46147,0.038496,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,26,"NVIDIA GeForce RTX 2080 Ti",24.5044,4.49805,0.056106,4.41584,0.040832,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,27,"NVIDIA GeForce RTX 2080 Ti",15.0732,4.21635,0.093036,4.148,0.02832,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,28,"NVIDIA GeForce RTX 2080 Ti",15.1523,4.12198,0.068419,4.05331,0.02848,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_frustum,29,"NVIDIA GeForce RTX 2080 Ti",16.2747,4.04384,0.062488,3.95376,0.049856,0,0,0,5417504,1,1,416,608,0,0,1024,0,0,0,0,1,1,1,0
frustum,gpu_occlusion,0,"NVIDIA GeForce RTX 2080 Ti",16.1367,3.89664,0.056957,3.78477,0.02432,0.033408,0.005376,0.006016,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,1,"NVIDIA GeForce RTX 2080 Ti",19.5531,3.93331,0.056867,3.8129,0.033248,0.032768,0.005568,0.006048,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,2,"NVIDIA GeForce RTX 2080 Ti",16.1321,4.36762,0.055695,4.25536,0.024896,0.03392,0.004768,0.005952,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,3,"NVIDIA GeForce RTX 2080 Ti",13.9535,3.63126,0.064131,3.52253,0.022336,0.034144,0.004416,0.005888,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,4,"NVIDIA GeForce RTX 2080 Ti",13.1434,4.4961,0.050485,4.38173,0.025824,0.033184,0.004704,0.007168,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,5,"NVIDIA GeForce RTX 2080 Ti",16.2221,4.42038,0.049483,4.30858,0.025408,0.033248,0.004672,0.005088,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,6,"NVIDIA GeForce RTX 2080 Ti",22.8249,3.82531,0.048361,3.68829,0.022688,0.043264,0.00928,0.019104,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,7,"NVIDIA GeForce RTX 2080 Ti",17.8131,4.22666,0.052609,4.1143,0.025984,0.033216,0.004544,0.005728,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,8,"NVIDIA GeForce RTX 2080 Ti",15.2164,3.92509,0.062157,3.79622,0.023648,0.033408,0.00512,0.005952,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,9,"NVIDIA GeForce RTX 2080 Ti",16.8552,4.00406,0.061586,3.87715,0.039104,0.03328,0.004768,0.005376,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,10,"NVIDIA GeForce RTX 2080 Ti",15.9779,3.90365,0.046668,3.79267,0.02336,0.033216,0.005024,0.006048,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,11,"NVIDIA GeForce RTX 2080 Ti",13.6492,4.2559,0.059703,4.11997,0.043616,0.036384,0.005152,0.006816,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,12,"NVIDIA GeForce RTX 2080 Ti",21.7755,3.89962,0.048111,3.76205,0.046016,0.037984,0.004832,0.005696,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,13,"NVIDIA GeForce RTX 2080 Ti",22.2044,4.25507,0.081845,4.1392,0.028,0.033472,0.004768,0.005248,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,14,"NVIDIA GeForce RTX 2080 Ti",14.6486,3.84714,0.05804,3.73795,0.022176,0.033632,0.004512,0.005952,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,15,"NVIDIA GeForce RTX 2080 Ti",14.1162,3.90032,0.081283,3.792,0.022944,0.032992,0.004416,0.005632,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,16,"NVIDIA GeForce RTX 2080 Ti",15.0207,4.06464,0.085512,3.9225,0.047168,0.041248,0.004896,0.005056,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,17,"NVIDIA GeForce RTX 2080 Ti",15.4038,4.62122,0.054523,4.50896,0.025312,0.03344,0.004672,0.005952,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,18,"NVIDIA GeForce RTX 2080 Ti",14.684,3.95261,0.066255,3.80032,0.053472,0.042688,0.005152,0.007456,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,19,"NVIDIA GeForce RTX 2080 Ti",15.4262,4.13955,0.05816,4.02643,0.025856,0.033184,0.004512,0.006016,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,20,"NVIDIA GeForce RTX 2080 Ti",21.3651,3.9159,0.043593,3.79853,0.031232,0.033792,0.004384,0.004832,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,21,"NVIDIA GeForce RTX 2080 Ti",17.3423,3.96237,0.052178,3.81568,0.050912,0.040416,0.004768,0.006176,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,22,"NVIDIA GeForce RTX 2080 Ti",14.6369,4.39661,0.061166,4.28288,0.02704,0.033184,0.004512,0.005952,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,23,"NVIDIA GeForce RTX 2080 Ti",15.4981,4.59818,0.07943,4.48384,0.02608,0.03408,0.004928,0.005664,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,24,"NVIDIA GeForce RTX 2080 Ti",17.4442,3.91299,0.072446,3.8025,0.02304,0.03424,0.004416,0.00608,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,25,"NVIDIA GeForce RTX 2080 Ti",15.6137,4.1815,0.067377,4.03248,0.026912,0.033312,0.004576,0.011488,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,26,"NVIDIA GeForce RTX 2080 Ti",15.7201,3.68115,0.049905,3.57171,0.022592,0.033216,0.004768,0.005024,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
frustum,gpu_occlusion,27,"NVIDIA GeForce RTX 2080 Ti",25.2425,4.96784,0.042881,4.85472,0.025888,0.033344,0.004672,0.005024,6819360,2,1,416,608,0,0,1024,0,0,0,1,1,1,1,0
