light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms
4,dense,off,direct,direct,forward,forward,Release,1,0,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,10,59577712,0.092320,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.092320,0,0,0,0,1.663520,3.040846,0.929032
4,dense,off,direct,direct,forward,forward,Release,1,1,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,10,59577712,0.093536,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.093536,0,0,0,0,1.865696,3.111349,0.934593
4,dense,off,direct,direct,forward,forward,Release,1,2,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,10,59577712,0.092160,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.092160,0,0,0,0,1.329248,2.647184,0.957196
4,dense,off,direct,direct,forward,forward,Release,1,3,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,10,59577712,0.093056,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.093056,0,0,0,0,1.322496,2.545662,0.880170
4,dense,off,direct,direct,forward,forward,Release,1,4,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,10,59577712,0.092352,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.092352,0,0,0,0,1.729536,3.027360,0.848481
4,dense,off,direct,direct,forward,forward,Release,1,5,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,10,59577712,0.091456,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.091456,0,0,0,0,1.541728,2.893518,0.967125
4,dense,off,direct,direct,forward,forward,Release,1,6,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,10,59577712,0.093184,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.093184,0,0,0,0,1.475968,3.052197,0.933932
4,dense,off,direct,direct,forward,forward,Release,1,7,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,10,59577712,0.092832,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.092832,0,0,0,0,1.331744,2.541725,0.884729
4,dense,off,direct,direct,forward,forward,Release,1,8,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,10,59577712,0.092384,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.092384,0,0,0,0,1.864640,3.318390,1.005216
4,dense,off,direct,direct,forward,forward,Release,1,9,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,10,59577712,0.092704,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.092704,0,0,0,0,1.317664,2.626845,0.951394
