light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms
4,dense,off,gpu-frustum,gpu-frustum,forward,forward,Release,1,0,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,1,59549920,0.091136,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.091136,0,0,0,0,1.475968,2.778912,0.862567
4,dense,off,gpu-frustum,gpu-frustum,forward,forward,Release,1,1,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,1,59549920,0.091616,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.091616,0,0,0,0,1.896928,3.111619,0.908374
4,dense,off,gpu-frustum,gpu-frustum,forward,forward,Release,1,2,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,1,59549920,0.090944,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.090944,0,0,0,0,1.349088,2.519292,0.833292
4,dense,off,gpu-frustum,gpu-frustum,forward,forward,Release,1,3,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,1,59549920,0.091200,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.091200,0,0,0,0,1.553024,2.819579,0.815849
4,dense,off,gpu-frustum,gpu-frustum,forward,forward,Release,1,4,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,1,59549920,0.091168,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.091168,0,0,0,0,1.746528,3.114424,0.845785
4,dense,off,gpu-frustum,gpu-frustum,forward,forward,Release,1,5,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,1,59549920,0.091136,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.091136,0,0,0,0,1.627328,2.859754,0.871103
4,dense,off,gpu-frustum,gpu-frustum,forward,forward,Release,1,6,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,1,59549920,0.090176,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.090176,0,0,0,0,1.439904,2.987004,0.913573
4,dense,off,gpu-frustum,gpu-frustum,forward,forward,Release,1,7,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,1,59549920,0.090912,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.090912,0,0,0,0,1.635488,2.988878,0.901911
4,dense,off,gpu-frustum,gpu-frustum,forward,forward,Release,1,8,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,1,59549920,0.090880,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.090880,0,0,0,0,1.893600,3.189066,0.869580
4,dense,off,gpu-frustum,gpu-frustum,forward,forward,Release,1,9,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,0,0,0,0,0,1,59549920,0.092640,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.092640,0,0,0,0,1.468512,2.909047,0.948730
