light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms
16,dense,on,direct,direct,forward,forward,Release,2,0,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.326016,0.000000,0,0,0.000000,0.016768,0.016768,0.000000,0.326016,0,0,0,0,1.565120,2.913546,0.880982
16,dense,on,direct,direct,forward,forward,Release,2,1,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.319264,0.000000,0,0,0.000000,0.016896,0.016896,0.000000,0.319264,0,0,0,0,2.111072,3.606162,1.004916
16,dense,on,direct,direct,forward,forward,Release,2,2,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.319168,0.000000,0,0,0.000000,0.017696,0.017696,0.000000,0.319168,0,0,0,0,1.574848,2.919717,0.910418
16,dense,on,direct,direct,forward,forward,Release,2,3,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.317376,0.000000,0,0,0.000000,0.016544,0.016544,0.000000,0.317376,0,0,0,0,2.116704,4.067803,1.405621
16,dense,on,direct,direct,forward,forward,Release,2,4,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.318688,0.000000,0,0,0.000000,0.016544,0.016544,0.000000,0.318688,0,0,0,0,1.576192,3.294775,1.037106
16,dense,on,direct,direct,forward,forward,Release,2,5,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.319168,0.000000,0,0,0.000000,0.016992,0.016992,0.000000,0.319168,0,0,0,0,2.116576,3.886411,1.217537
16,dense,on,direct,direct,forward,forward,Release,2,6,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.319616,0.000000,0,0,0.000000,0.017824,0.017824,0.000000,0.319616,0,0,0,0,1.928800,3.633183,0.856075
16,dense,on,direct,direct,forward,forward,Release,2,7,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.318112,0.000000,0,0,0.000000,0.017888,0.017888,0.000000,0.318112,0,0,0,0,1.681376,3.120226,0.887935
16,dense,on,direct,direct,forward,forward,Release,2,8,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.317600,0.000000,0,0,0.000000,0.016832,0.016832,0.000000,0.317600,0,0,0,0,1.865088,3.304514,0.886662
16,dense,on,direct,direct,forward,forward,Release,2,9,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.318624,0.000000,0,0,0.000000,0.016480,0.016480,0.000000,0.318624,0,0,0,0,1.756512,3.413189,0.949802
16,dense,on,direct,direct,forward,forward,Release,2,10,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.319232,0.000000,0,0,0.000000,0.017056,0.017056,0.000000,0.319232,0,0,0,0,1.854688,3.287551,0.859782
16,dense,on,direct,direct,forward,forward,Release,2,11,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,16,0,96,12,84,84,12,44,59613024,0.318048,0.000000,0,0,0.000000,0.017600,0.017600,0.000000,0.318048,0,0,0,0,2.111104,3.623325,0.990538
