light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms
128,localized,off,direct,direct,forward,forward,Release,3,0,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,59587632,0.814944,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.814944,0,0,0,0,2.377120,3.855823,0.954330
128,localized,off,direct,direct,forward,forward,Release,3,1,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,59587632,0.815040,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.815040,0,0,0,0,2.258848,3.803294,0.975560
128,localized,off,direct,direct,forward,forward,Release,3,2,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,59587632,0.818432,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.818432,0,0,0,0,2.536896,4.182510,1.000858
128,localized,off,direct,direct,forward,forward,Release,3,3,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,59587632,0.815424,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.815424,0,0,0,0,2.055680,3.980428,1.397506
128,localized,off,direct,direct,forward,forward,Release,3,4,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,59587632,0.817408,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.817408,0,0,0,0,2.764416,4.421220,1.051544
128,localized,off,direct,direct,forward,forward,Release,3,5,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,59587632,0.816224,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.816224,0,0,0,0,2.343744,3.737600,0.889368
128,localized,off,direct,direct,forward,forward,Release,3,6,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,59587632,0.815424,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.815424,0,0,0,0,2.179488,3.875942,0.881142
128,localized,off,direct,direct,forward,forward,Release,3,7,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,59587632,0.816320,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.816320,0,0,0,0,2.041408,3.281200,0.822631
128,localized,off,direct,direct,forward,forward,Release,3,8,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,59587632,0.816288,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.816288,0,0,0,0,2.178752,3.663110,0.891712
128,localized,off,direct,direct,forward,forward,Release,3,9,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,59587632,0.816160,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.816160,0,0,0,0,2.040736,3.294104,0.843251
