light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms
32,localized,on,direct,direct,forward,forward,Release,2,0,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,192,12,180,180,12,19,59591120,0.235360,0.000000,0,0,0.000000,0.012288,0.012288,0.000000,0.235360,0,0,0,0,1.725856,3.111580,0.863629
32,localized,on,direct,direct,forward,forward,Release,2,1,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,192,12,180,180,12,19,59591120,0.236544,0.000000,0,0,0.000000,0.012672,0.012672,0.000000,0.236544,0,0,0,0,1.477312,2.774703,0.890480
32,localized,on,direct,direct,forward,forward,Release,2,2,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,192,12,180,180,12,19,59591120,0.235776,0.000000,0,0,0.000000,0.012032,0.012032,0.000000,0.235776,0,0,0,0,1.584960,2.937521,0.798987
32,localized,on,direct,direct,forward,forward,Release,2,3,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,192,12,180,180,12,19,59591120,0.235392,0.000000,0,0,0.000000,0.011104,0.011104,0.000000,0.235392,0,0,0,0,1.836224,3.163738,0.894307
32,localized,on,direct,direct,forward,forward,Release,2,4,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,192,12,180,180,12,19,59591120,0.236160,0.000000,0,0,0.000000,0.012288,0.012288,0.000000,0.236160,0,0,0,0,2.015392,3.377160,0.962456
32,localized,on,direct,direct,forward,forward,Release,2,5,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,192,12,180,180,12,19,59591120,0.236160,0.000000,0,0,0.000000,0.012096,0.012096,0.000000,0.236160,0,0,0,0,1.489248,2.872658,0.862517
32,localized,on,direct,direct,forward,forward,Release,2,6,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,192,12,180,180,12,19,59591120,0.238816,0.000000,0,0,0.000000,0.012288,0.012288,0.000000,0.238816,0,0,0,0,1.477824,8.441894,0.853881
32,localized,on,direct,direct,forward,forward,Release,2,7,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,192,12,180,180,12,19,59591120,0.236128,0.000000,0,0,0.000000,0.012000,0.012000,0.000000,0.236128,0,0,0,0,1.749568,2.891394,0.798607
32,localized,on,direct,direct,forward,forward,Release,2,8,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,192,12,180,180,12,19,59591120,0.236224,0.000000,0,0,0.000000,0.012000,0.012000,0.000000,0.236224,0,0,0,0,1.487424,2.673803,0.804728
32,localized,on,direct,direct,forward,forward,Release,2,9,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,192,12,180,180,12,19,59591120,0.236480,0.000000,0,0,0.000000,0.011872,0.011872,0.000000,0.236480,0,0,0,0,2.384864,3.687236,0.944512
