light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms
128,dense,off,direct,direct,tiled,tiled,Release,3,0,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.129856,0.000000,0,0,0.000000,0.000000,0.000000,0.223488,2.353344,8160,0,0,0,4.943936,6.259928,0.825387
128,dense,off,direct,direct,tiled,tiled,Release,3,1,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.129568,0.000000,0,0,0.000000,0.000000,0.000000,0.222528,2.352096,8160,0,0,0,4.776960,6.652388,1.215362
128,dense,off,direct,direct,tiled,tiled,Release,3,2,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.122016,0.000000,0,0,0.000000,0.000000,0.000000,0.222368,2.344384,8160,0,0,0,4.769152,6.248988,0.848190
128,dense,off,direct,direct,tiled,tiled,Release,3,3,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.118400,0.000000,0,0,0.000000,0.000000,0.000000,0.222208,2.340608,8160,0,0,0,4.745696,6.431682,1.163775
128,dense,off,direct,direct,tiled,tiled,Release,3,4,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.119200,0.000000,0,0,0.000000,0.000000,0.000000,0.222144,2.341344,8160,0,0,0,4.862624,6.337384,0.823724
128,dense,off,direct,direct,tiled,tiled,Release,3,5,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.122080,0.000000,0,0,0.000000,0.000000,0.000000,0.222752,2.344832,8160,0,0,0,4.532992,5.956757,0.847168
128,dense,off,direct,direct,tiled,tiled,Release,3,6,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.122656,0.000000,0,0,0.000000,0.000000,0.000000,0.222432,2.345088,8160,0,0,0,3.863744,5.489786,0.829484
128,dense,off,direct,direct,tiled,tiled,Release,3,7,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.125248,0.000000,0,0,0.000000,0.000000,0.000000,0.221696,2.346944,8160,0,0,0,4.364576,5.789691,0.860393
128,dense,off,direct,direct,tiled,tiled,Release,3,8,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.121952,0.000000,0,0,0.000000,0.000000,0.000000,0.222208,2.344160,8160,0,0,0,4.397984,5.770114,0.904606
128,dense,off,direct,direct,tiled,tiled,Release,3,9,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.127040,0.000000,0,0,0.000000,0.000000,0.000000,0.223968,2.351008,8160,0,0,0,4.931584,6.298330,0.866604
128,dense,off,direct,direct,tiled,tiled,Release,3,10,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.127072,0.000000,0,0,0.000000,0.000000,0.000000,0.222240,2.349312,8160,0,0,0,4.889216,6.718593,1.301185
128,dense,off,direct,direct,tiled,tiled,Release,3,11,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.125824,0.000000,0,0,0.000000,0.000000,0.000000,0.223232,2.349056,8160,0,0,0,4.757600,6.800608,1.386706
128,dense,off,direct,direct,tiled,tiled,Release,3,12,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.117632,0.000000,0,0,0.000000,0.000000,0.000000,0.221312,2.338944,8160,0,0,0,4.743808,6.945221,1.375164
128,dense,off,direct,direct,tiled,tiled,Release,3,13,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,128,0,0,0,0,0,0,10,61741872,2.112960,0.000000,0,0,0.000000,0.000000,0.000000,0.223104,2.336064,8160,0,0,0,4.741568,6.954268,1.388319
