light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms
32,dense,off,gpu-frustum,gpu-frustum,tiled,tiled,Release,3,0,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,0,0,0,0,0,1,61706400,0.562240,0.000000,0,0,0.000000,0.000000,0.000000,0.062560,0.624800,8160,0,0,0,2.303936,3.590893,0.805449
32,dense,off,gpu-frustum,gpu-frustum,tiled,tiled,Release,3,1,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,0,0,0,0,0,1,61706400,0.558880,0.000000,0,0,0.000000,0.000000,0.000000,0.063168,0.622048,8160,0,0,0,2.437088,3.637090,0.770113
32,dense,off,gpu-frustum,gpu-frustum,tiled,tiled,Release,3,2,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,0,0,0,0,0,1,61706400,0.559008,0.000000,0,0,0.000000,0.000000,0.000000,0.062080,0.621088,8160,0,0,0,1.882944,3.049352,0.820328
32,dense,off,gpu-frustum,gpu-frustum,tiled,tiled,Release,3,3,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,0,0,0,0,0,1,61706400,0.560576,0.000000,0,0,0.000000,0.000000,0.000000,0.062368,0.622944,8160,0,0,0,2.018080,3.211748,0.785202
32,dense,off,gpu-frustum,gpu-frustum,tiled,tiled,Release,3,4,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,0,0,0,0,0,1,61706400,0.558592,0.000000,0,0,0.000000,0.000000,0.000000,0.062144,0.620736,8160,0,0,0,2.302144,3.669512,0.833893
32,dense,off,gpu-frustum,gpu-frustum,tiled,tiled,Release,3,5,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,0,0,0,0,0,1,61706400,0.559392,0.000000,0,0,0.000000,0.000000,0.000000,0.061568,0.620960,8160,0,0,0,1.864576,3.073387,0.826549
32,dense,off,gpu-frustum,gpu-frustum,tiled,tiled,Release,3,6,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,0,0,0,0,0,1,61706400,0.560416,0.000000,0,0,0.000000,0.000000,0.000000,0.062400,0.622816,8160,0,0,0,2.295488,3.848660,0.869330
32,dense,off,gpu-frustum,gpu-frustum,tiled,tiled,Release,3,7,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,0,0,0,0,0,1,61706400,0.559040,0.000000,0,0,0.000000,0.000000,0.000000,0.063360,0.622400,8160,0,0,0,1.863904,3.101470,0.819135
32,dense,off,gpu-frustum,gpu-frustum,tiled,tiled,Release,3,8,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,0,0,0,0,0,1,61706400,0.560480,0.000000,0,0,0.000000,0.000000,0.000000,0.061504,0.621984,8160,0,0,0,2.289088,3.702474,0.904516
32,dense,off,gpu-frustum,gpu-frustum,tiled,tiled,Release,3,9,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,32,0,0,0,0,0,0,1,61706400,0.557568,0.000000,0,0,0.000000,0.000000,0.000000,0.063168,0.620736,8160,0,0,0,1.863424,3.091361,0.822031
