light_count,light_layout,shadows,visibility,effective_visibility,lighting_path,requested_lighting,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_light_tiles_ms,gpu_build_plus_raster_ms,light_tile_count,light_tile_counts_valid,light_tile_candidate_count,light_tile_overflow_count,gpu_ms,cpu_ms,readback_cpu_ms
4,dense,on,gpu-occlusion,gpu-occlusion,tiled,tiled,Release,3,0,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,24,12,12,12,12,34,106481072,0.131648,0.005792,0,0,0.000000,0.016608,0.016608,0.013760,0.151200,8160,0,0,0,2.334208,3.904525,0.994926
4,dense,on,gpu-occlusion,gpu-occlusion,tiled,tiled,Release,3,1,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,24,12,12,12,12,34,106481072,0.131680,0.005728,0,0,0.000000,0.018048,0.018048,0.012832,0.150240,8160,0,0,0,1.893952,3.317658,0.892323
4,dense,on,gpu-occlusion,gpu-occlusion,tiled,tiled,Release,3,2,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,24,12,12,12,12,34,106481072,0.132000,0.005088,0,0,0.000000,0.018176,0.018176,0.012832,0.149920,8160,0,0,0,1.740064,3.479364,0.974769
4,dense,on,gpu-occlusion,gpu-occlusion,tiled,tiled,Release,3,3,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,24,12,12,12,12,34,106481072,0.130912,0.004832,0,0,0.000000,0.016672,0.016672,0.013504,0.149248,8160,0,0,0,1.905760,3.413849,0.999605
4,dense,on,gpu-occlusion,gpu-occlusion,tiled,tiled,Release,3,4,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,24,12,12,12,12,34,106481072,0.131296,0.005728,0,0,0.000000,0.017344,0.017344,0.013408,0.150432,8160,0,0,0,2.103712,3.663560,0.958799
4,dense,on,gpu-occlusion,gpu-occlusion,tiled,tiled,Release,3,5,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,24,12,12,12,12,34,106481072,0.130976,0.005824,0,0,0.000000,0.017600,0.017600,0.012992,0.149792,8160,0,0,0,1.898112,3.428878,0.963157
4,dense,on,gpu-occlusion,gpu-occlusion,tiled,tiled,Release,3,6,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,24,12,12,12,12,34,106481072,0.131328,0.005184,0,0,0.000000,0.017120,0.017120,0.013344,0.149856,8160,0,0,0,1.715360,3.431703,0.944281
4,dense,on,gpu-occlusion,gpu-occlusion,tiled,tiled,Release,3,7,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,24,12,12,12,12,34,106481072,0.131648,0.004736,0,0,0.000000,0.018304,0.018304,0.012416,0.148800,8160,0,0,0,1.899648,3.384976,0.945644
4,dense,on,gpu-occlusion,gpu-occlusion,tiled,tiled,Release,3,8,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,24,12,12,12,12,34,106481072,0.131296,0.004736,0,0,0.000000,0.018112,0.018112,0.013216,0.149248,8160,0,0,0,1.739584,3.535660,0.923171
4,dense,on,gpu-occlusion,gpu-occlusion,tiled,tiled,Release,3,9,"NVIDIA GeForce RTX 2080 Ti","NVIDIA GeForce RTX 2080 Ti 595.84","4a3453e2b1868555d833f578d43f48b8bc47d41a",1920,1080,0,0,4,0,24,12,12,12,12,34,106481072,0.131328,0.006080,0,0,0.000000,0.018048,0.018048,0.012832,0.150240,8160,0,0,0,1.563392,3.011661,0.957977
