light_count,shadows,visibility,effective_visibility,lighting_path,build_configuration,run_index,frame,device,driver,commit,width,height,validation_enabled,validation_errors,submitted_local_lights,omitted_local_lights,requested_local_shadow_faces,rendered_local_shadow_faces,dropped_shadow_faces,shadow_atlas_full_drops,shadow_tiles,draw_calls,gpu_bytes,gpu_main_raster_ms,gpu_post_raster_ms,gpu_post_visible,visibility_counters_valid,gpu_sun_shadow_ms,gpu_local_shadow_ms,gpu_shadow_ms,gpu_ms,cpu_ms,readback_cpu_ms
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,0,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303968,0.005696,0,0,0.000000,0.018304,0.018304,1.817344,3.479483,0.992823
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,1,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303168,0.005824,0,0,0.000000,0.016928,0.016928,1.851584,3.410493,0.897834
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,2,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303616,0.005792,0,0,0.000000,0.017408,0.017408,1.822048,3.289756,0.916749
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,3,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303520,0.005824,0,0,0.000000,0.016864,0.016864,1.718496,3.067466,0.870973
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,4,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.302944,0.005472,0,0,0.000000,0.017728,0.017728,1.881696,3.403611,0.956725
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,5,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.302816,0.005120,0,0,0.000000,0.017856,0.017856,2.041152,3.550277,0.870182
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,6,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303264,0.005664,0,0,0.000000,0.017312,0.017312,1.822464,3.475496,0.918603
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,7,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303040,0.005760,0,0,0.000000,0.017920,0.017920,1.719392,3.189797,0.934753
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,8,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303264,0.005632,0,0,0.000000,0.017312,0.017312,1.860800,3.837358,1.058888
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,9,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303392,0.005920,0,0,0.000000,0.016608,0.016608,2.051232,3.635117,0.932008
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,10,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303712,0.005696,0,0,0.000000,0.018272,0.018272,2.123392,3.816319,0.955192
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,11,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.302592,0.005728,0,0,0.000000,0.017952,0.017952,1.717952,3.670313,1.298840
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,12,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.305056,0.005984,0,0,0.000000,0.017024,0.017024,2.118208,4.021776,1.130783
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,13,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303456,0.006112,0,0,0.000000,0.018432,0.018432,2.274496,4.150138,1.130843
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,14,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.304928,0.005824,0,0,0.000000,0.017920,0.017920,1.718688,3.550377,1.209411
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,15,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303840,0.005504,0,0,0.000000,0.017696,0.017696,2.383744,4.198680,1.122858
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,16,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.308544,0.005152,0,0,0.000000,0.017920,0.017920,2.002880,3.908994,1.104443
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,17,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303488,0.005664,0,0,0.000000,0.018432,0.018432,2.096096,3.959219,1.163765
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,18,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303264,0.005088,0,0,0.000000,0.017536,0.017536,1.860160,3.612945,1.118880
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,19,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.303808,0.005088,0,0,0.000000,0.017408,0.017408,2.121344,3.898363,1.095477
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,20,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.310976,0.005728,0,0,0.000000,0.017952,0.017952,1.713856,3.436563,1.096088
16,on,gpu-occlusion,gpu-occlusion,forward,Release,3,21,"NVIDIA GeForce RTX 2080 Ti","NVIDIA-595.84","05906054cf5c4f6a9346ce0b4c507f256566e43e",1920,1080,0,0,16,0,96,12,84,84,12,36,104319936,0.304800,0.004992,0,0,0.000000,0.017856,0.017856,1.706816,3.633845,1.082923
